;;;;;Valores PVP c/IVA;;;
Maicao;3436437;479 Maicao - Av. Ortuzar 601, Melipilla;Offline;Lifestyle;0;1.442.410,97;0,00;1316881,037
Preunic;3394517;007 Preunic - Ahumada 141, Santiago;Offline;Lifestyle;1.612.807,00;2.198.384,58;1.964.008,13;2161487,44
Preunic;3394346;067 Preunic - Serrano 533, San Carlos;Offline;Lifestyle;7.361.937,38;7.993.456,10;6.779.038,49;6577419,17
Preunic;3394284;017 Preunic - Av. Vicuña Mackenna Oriente 7110, La Florida;Offline;Lifestyle;7.746.571,56;8.398.110,84;9.265.348,33;6891826,69
Preunic;3399531;082 Preunic - Av. Bernardo OHiggins 1019, Talagante;Offline;Lifestyle;4.609.041,36;6.179.036,92;5.674.576,88;4278158,29
Preunic;3394521;021 Preunic - Alameda 3170, Estación Central;Offline;Lifestyle;3.765.639,57;3.826.412,87;3.483.817,82;2809700,67
Maicao;3399088;222 Maicao - Victoria 510, Cauquenes;Offline;Lifestyle;8.074.304,50;8.277.309,82;6.834.042,19;5930003,097
Maicao;3436331;462 Maicao - Puente 602 (Puente 2);Offline;Lifestyle;1.362.304,96;1.242.134,04;1.281.655,99;831619,0764
Maicao;3402828;458 Maicao - Calle Valparaíso # 473-477, locales 1-2;Offline;Lifestyle;1.853.437,83;1.360.142,94;1.717.272,99;1032759,088
Maicao;3399223;006 Maicao - Monumento 1868, Maipú;Offline;Lifestyle;2.684.312,88;2.828.168,98;2.472.251,03;1517373,153
Maicao;3399263;274 Maicao - Mar Tirreno 3349, Peñalolén;Offline;Lifestyle;807.150,03;957.917,05;1.103.190,04;675371,0411
Maicao;3399028;223 Maicao - Ortiz de Rosas 406, La Ligua;Offline;Lifestyle;4.441.244,71;3.731.237,92;4.120.621,15;3043578,034
Maicao;3394391;060 Maicao - Av. Pedro Montt 1818, Valparaíso;Offline;Lifestyle;2.379.521,94;1.842.649,88;1.749.685,99;1671172,061
Maicao;3399122;285 Maicao - Av. Carlos Pratt González, Esq. Yobilo, Coronel;Offline;Lifestyle;4.364.855,79;4.080.368,85;4.383.853,99;3878692,164
Maicao;3399237;221 Maicao - Providencia 1936, Providencia;Offline;Lifestyle;939.574,90;1.067.538,98;839.916,02;786110,0611
Preunic;3394514;001 Preunic - Alameda 877, Santiago;Offline;Lifestyle;3.027.269,56;2.754.003,91;3.599.591,73;2244260,27
Preunic;3394351;106 Preunic - Independencia 470, Linares;Offline;Lifestyle;5.643.626,17;4.079.989,97;4.245.682,00;3005863,84
Preunic;3399537;092 Preunic - Larrain 5862, La Reina;Offline;Lifestyle;2.238.907,65;2.467.219,86;2.717.889,79;2568089,02
Preunic;3394359;084 Preunic - Calle Cordovez 529-533, La Serena;Offline;Lifestyle;2.289.736,12;2.502.232,04;2.260.350,26;2114600,25
Preunic;3399347;107 Preunic - Rafael Casanova 113-117, Santa Cruz;Offline;Lifestyle;8.914.693,41;10.978.325,96;8.633.566,62;9133047,7
Preunic;3394344;043 Preunic - Peña 737, Curicó;Offline;Lifestyle;2.695.115,57;2.653.308,49;2.275.175,28;1670523,19
Preunic;3394320;056 Preunic - Av. Ramón Freire 2414, Quilpué;Offline;Lifestyle;3.877.146,14;4.165.268,94;4.070.543,75;4310870,2
Preunic;3394350;093 Preunic - Camilo Henríquez 537, Villarrica;Offline;Lifestyle;4.090.962,96;4.360.703,83;3.461.062,64;2885293,04
Preunic;3394311;004 Preunic - Av. Centenario 144, San Antonio;Offline;Lifestyle;3.637.432,54;4.469.663,80;3.575.682,25;3650727,22
Preunic;3399528;027 Preunic - Illapel 10, Puerto Montt;Offline;Lifestyle;2.197.110,09;2.545.377,87;2.379.688,22;2317767,76
Preunic;3394353;110 Preunic - Arauco 561, Valdivia;Offline;Lifestyle;3.143.026,81;3.356.704,40;2.901.482,99;3236057,44
Preunic;3394419;005 Preunic - Providencia 2212, Providencia;Offline;Lifestyle;932.104,39;1.027.346,04;725.675,09;927395,56
Preunic;3399546;098 Preunic - Padre Hurtado Sur 875, Las Condes;Offline;Lifestyle;649.634,09;1.050.228,55;1.040.081,42;952634,27
Maicao;3436209;467 Maicao - Gabriela Mistral 435, Vicuña;Offline;Lifestyle;2.296.305,92;2.788.568,96;1.489.404,02;1767747,999
Maicao;3394426;267 Maicao - Eyzaguirre 509, San Bernardo;Offline;Lifestyle;2.785.026,84;2.137.238,94;2.147.379,95;2148497,21
Maicao;3394494;044 Maicao - Av. Matta 060, Ñuñoa;Offline;Lifestyle;1.348.800,92;1.129.186,99;1.542.059,10;1131447,954
Maicao;3399063;012 Maicao - Rafael Cassanova 388, Santa Cruz;Offline;Lifestyle;4.505.068,82;4.346.251,83;3.380.399,16;2394116,006
Maicao;3394388;023 Maicao - Prat 219, San Felipe;Offline;Lifestyle;3.902.572,92;3.606.207,88;2.956.094,03;2477302,183
Maicao;3436330;472 Maicao - Independencia 801, local 2, Independencia;Offline;Lifestyle;599.379,96;329.282,01;326.896,99;405062,9933
Maicao;3436327;475 Maicao - Maipú 241, Los Andes;Offline;Lifestyle;53.998,99;1.227.005,95;673.252,08;1691001,103
Preunic;3394352;109 Preunic - Carlos Pratt González 913, Coronel;Offline;Lifestyle;6.057.780,68;5.557.860,49;5.311.518,59;5969931,31
Preunic;3394317;037 Preunic - Av. Independencia 1728, Valparaíso;Offline;Lifestyle;2.947.633,57;2.278.809,54;2.677.895,08;2378732,65
Preunic;3394288;059 Preunic - Av. Vicuña Mackenna 6100, La Florida;Offline;Lifestyle;2.387.877,80;1.739.475,36;2.389.719,92;1406255,13
Preunic;3394287;031 Preunic - Av. Américo Vespucio 33, La Cisterna;Offline;Lifestyle;3.151.723,33;2.812.649,49;3.269.883,19;2842566,09
Preunic;No Definido;144 Preunic - Constitución esq Ignacio Silva, Illapel;Offline;Lifestyle;0;4.188.899,96;0,00;1019784,007
Preunic;3410734;130 Preunic - Av. Angamos 745, Antofagasta;Offline;Lifestyle;3.336.683,84;3.302.440,40;3.288.910,10;3064508,23
Preunic;No Definido;148 Preunic - Av Edo Frei Montalba N 01110 Local 02, Punta Arenas;Offline;Lifestyle;0;1.169.202,37;0,00;1019784,007
Preunic;3394421;044 Preunic - Encomenderos 54, Las Condes;Offline;Lifestyle;4.397.349,88;2.380.332,01;3.659.968,76;2256840,95
Preunic;3436407;145 Preunic - Avenida Vicuña Mackenna 7110, La Florida;Offline;Lifestyle;0;1.486.759,82;0,00;1232221,2
Preunic;3399544;038 Preunic - Av. Manquehue Sur 31, Las Condes;Offline;Lifestyle;1.192.472,82;1.137.281,81;917.113,96;1564851,19
Preunic;3399534;050 Preunic - Santa Filomena 499, Recoleta;Offline;Lifestyle;775.026,77;1.218.689,71;699.177,36;1131174,73
Maicao;3399065;040 Maicao - Rafael Cassanova 239, Santa Cruz;Offline;Lifestyle;3.903.313,85;2.799.355,96;3.681.744,09;2302331,032
Maicao;3394292;089 Maicao - OHiggins 539, Copiapó;Offline;Lifestyle;3.770.260,80;3.017.714,93;3.385.251,00;3025464,259
Maicao;3394392;070 Maicao - Condell 1212, Valparaíso;Offline;Lifestyle;1.199.959,90;1.371.726,01;1.072.067,01;1270754,947
Maicao;3394290;048 Maicao - Aldunate 1237, Coquimbo;Offline;Lifestyle;1.391.856,94;1.493.398,93;1.189.577,00;1016486,112
Maicao;3399340;224 Maicao - Cinco de Abril 740, Chillán;Offline;Lifestyle;4.390.826,75;2.884.313,93;3.194.729,03;2785460,156
Maicao;3399089;082 Maicao - Independencia 615, Linares;Offline;Lifestyle;5.511.910,71;4.453.361,89;4.406.864,18;3541421,948
Maicao;3399156;287 Maicao - Lautaro 38, Angol;Offline;Lifestyle;5.728.851,67;5.355.049,84;3.679.645,99;3519257,186
Maicao;3399238;072 Maicao - Av. Apoquindo 4400, Las Condes;Offline;Lifestyle;1.910.462,94;1.898.617,01;1.592.596,08;1680133,011
Maicao;3399066;226 Maicao - Arturo Pratt 74A-74B, Rengo;Offline;Lifestyle;4.463.412,81;2.853.969,91;2.498.260,09;3056547,011
Maicao;3399208;076 Maicao - Av. Bilbao 280, Coyhaique;Offline;Lifestyle;4.446.230,90;3.678.332,85;3.815.990,15;3524526,125
Maicao;3399033;038 Maicao - José Joaquín Pérez 236, Calera;Offline;Lifestyle;1.828.921,92;2.854.299,92;1.967.176,11;1714915,105
Maicao;3399226;275 Maicao - Av. José Miguel Carrera 10375, El Bosque;Offline;Lifestyle;3.334.220,81;2.627.109,00;2.845.592,08;2183570,044
Maicao;3399260;429 Maicao - Av. Libertador Bernardo OHiggins 3110, Estación Central;Offline;Lifestyle;690.563,99;1.028.533,98;816.464,03;934991,0563
Maicao;3399242;428 Maicao - Bandera 302, Santiago;Offline;Lifestyle;657.560,00;740.264,00;608.653,99;672871,0415
Preunic;3394362;096 Preunic - Prolongación Benavente 1075, Ovalle;Offline;Lifestyle;1.799.978,53;2.453.076,71;2.048.828,95;1815741,27
Preunic;3394363;108 Preunic - Baquedano 86, Coquimbo;Offline;Lifestyle;1.384.787,53;1.639.095,29;1.509.355,54;1392521,34
Preunic;3394347;069 Preunic - 5 de Abril #735, Chillán;Offline;Lifestyle;3.856.091,47;4.128.060,02;3.610.325,53;3930091,62
Preunic;3394322;071 Preunic - Esmeralda 273, Los Andes;Offline;Lifestyle;5.965.631,84;5.251.867,46;5.617.286,71;4075569,12
Preunic;3410736;132 Preunic - Av. Héroes de La Concepción 2555, Iquique;Offline;Lifestyle;3.369.186,31;3.053.218,70;3.978.047,43;3338091,61
Preunic;3436324;138 Preunic - San Martín 547, Castro;Offline;Lifestyle;1.327.074,91;3.053.488,83;1.586.894,75;2499155,89
Preunic;3394488;049 Preunic - Av. Jorge Alessandri 20040, San Bernardo;Offline;Lifestyle;2.705.628,03;2.776.724,58;3.099.941,67;2945514,18
Maicao;3399069;272 Maicao - Paseo Independencia 683, Rancagua;Offline;Lifestyle;2.532.740,87;2.631.621,99;1.619.518,03;2341955,141
Maicao;3399121;209 Maicao - Saavedra 603, Cañete;Offline;Lifestyle;7.212.464,65;8.109.855,77;6.931.518,16;6379269,89
Maicao;3399097;264 Maicao - Uno Sur 1371, Talca;Offline;Lifestyle;4.325.498,70;2.918.124,87;3.068.032,99;2264742,122
Maicao;3394424;068 Maicao - Av. Vicuña Mackenna Oriente 7110, La Florida;Offline;Lifestyle;2.532.921,95;2.741.663,96;2.040.421,01;2466948,124
Maicao;3399095;009 Maicao - Peña 749, Curicó;Offline;Lifestyle;4.367.595,66;5.365.237,83;4.443.222,08;3293185,151
Maicao;3399249;279 Maicao - Av. Bernardo OHiggins 1041, Santiago;Offline;Lifestyle;973.873,95;1.173.858,98;1.089.529,00;1324669,063
Maicao;3399230;441 Maicao - Av. Independencia 565, Independencia;Offline;Lifestyle;1.997.907,84;1.568.769,96;1.857.935,06;1519630,964
Maicao;3399232;436 Maicao - Dorsal 605, Recoleta;Offline;Lifestyle;1.780.319,83;1.579.868,98;1.866.653,05;1879413,053
Maicao;3399025;036 Maicao - Esmeralda 211, Los Andes;Offline;Lifestyle;2.819.054,89;2.651.689,92;2.573.019,08;1956759,067
Maicao;3436379;476 Maicao - Latorre 1987, Calama;Offline;Lifestyle;788.774,00;1.062.474,99;1.013.633,06;1168060,053
Preunic;3399526;083 Preunic - Eleuterio Ramírez 1027, Osorno;Offline;Lifestyle;3.128.117,30;2.992.590,58;3.223.604,09;2253342,35
Preunic;3394341;032 Preunic - Colón 476, Los Ángeles;Offline;Lifestyle;11.020.000,95;12.684.837,13;8.905.182,93;9599825,2
Preunic;3394343;034 Preunic - Aníbal Pinto 627, Concepción;Offline;Lifestyle;1.697.444,56;2.962.438,36;2.534.626,22;2326578,52
Preunic;3394286;030 Preunic - Av. Camilo Henriquez 3692, Puente Alto;Offline;Lifestyle;6.458.885,65;6.771.261,84;7.205.070,39;7236886,23
Preunic;3394357;068 Preunic - Arturo Prat 1099, Vallenar;Offline;Lifestyle;4.380.739,86;3.856.199,76;4.541.625,48;3433479,63
Preunic;3399521;091 Preunic - Teniente Coronel José Bernardo Cuevas 405, Rancagua;Offline;Lifestyle;1.650.898,90;1.210.588,19;2.060.038,75;1834499,24
Preunic;3399524;090 Preunic - Manuel Montt 1158, Tomé;Offline;Lifestyle;3.197.239,64;3.634.294,51;4.060.846,44;3019546,46
Maicao;3394291;084 Maicao - Arturo Prat 1035, Vallenar;Offline;Lifestyle;4.360.063,80;3.791.572,97;4.209.613,12;3072535,173
Maicao;3399236;422 Maicao - Av. Américo Vespucio 399, Maipú;Offline;Lifestyle;1.470.569,98;1.428.846,92;1.650.635,04;1760522,152
Maicao;3399094;083 Maicao - Freire 664, Constitución;Offline;Lifestyle;3.621.547,81;3.951.808,83;2.916.948,97;3120534,144
Maicao;3399068;225 Maicao - German Riesco 901, San Vicente de Tagua Tagua;Offline;Lifestyle;2.954.031,83;2.459.215,90;2.519.870,03;1894228,053
Maicao;3399178;277 Maicao - Juan Ladrilleros 408, Quellón;Offline;Lifestyle;3.871.565,91;3.554.957,00;3.956.824,22;3352018,109
Maicao;3399683;220 Maicao - 21 de Mayo #1705, Tocopilla;Offline;Lifestyle;2.034.466,88;1.870.058,02;1.725.556,07;1259585,024
Maicao;3399070;246 Maicao - Santa María 387-B, Rancagua;Offline;Lifestyle;2.074.776,91;1.798.101,96;1.645.966,10;1385514,037
Maicao;3399100;247 Maicao - 1 Sur # 1152, Talca;Offline;Lifestyle;1.572.444,90;1.482.556,04;1.203.483,03;1015223,046
Preunic;3394307;015 Preunic - Bulnes 536, Temuco;Offline;Lifestyle;8.914.790,99;8.210.934,55;8.446.508,14;6209959,07
Preunic;3394519;016 Preunic - Av. Américo Vespucio 1501, Maipú;Offline;Lifestyle;2.450.771,68;3.159.261,98;3.206.414,54;3089543,45
Preunic;3394345;066 Preunic - Freire 586, Constitución;Offline;Lifestyle;5.974.840,06;6.328.966,21;6.636.111,16;5010060,65
Preunic;3399525;077 Preunic - Barros Arana 1608, Concepción;Offline;Lifestyle;4.211.277,91;3.174.398,78;4.464.921,65;3931046
Preunic;3394331;063 Preunic - 21 de Mayo 237, Arica;Offline;Lifestyle;1.263.154,06;835.921,45;1.491.835,17;1069191,2
Preunic;3394529;041 Preunic - Av. 5 de Abril 177, Maipú;Offline;Lifestyle;2.525.177,62;2.029.886,53;2.663.128,37;2174935,63
Preunic;3410733;129 Preunic - Diego Portales 822, Quilpué;Offline;Lifestyle;3.145.128,35;3.079.784,26;2.962.139,67;2324203,28
Preunic;3394489;062 Preunic - Av. Irarrázaval 2626, Ñuñoa;Offline;Lifestyle;1.383.789,12;1.227.379,09;1.175.979,42;1396000,9
Preunic;3394308;022 Preunic - El Roble 638, Chillán;Offline;Lifestyle;7.538.655,95;7.658.988,75;5.879.386,59;5851250,23
Preunic;3394516;003 Preunic - Puente 670, Santiago;Offline;Lifestyle;3.792.853,68;4.895.329,18;3.813.727,47;3540047,7
Preunic;3399538;087 Preunic - OHiggins 581, Quilicura;Offline;Lifestyle;7.670.845,91;7.447.279,42;7.870.942,03;6454338,66
Preunic;3394531;073 Preunic - Huérfanos 1039, Santiago;Offline;Lifestyle;710.827,46;655.626,93;949.228,49;994529,41
Maicao;3399024;204 Maicao - Arturo Prat 931, San Felipe;Offline;Lifestyle;3.766.142,89;3.149.877,93;2.709.275,07;2557501,233
Maicao;3394492;007 Maicao - Concha y Toro 114, Puente Alto;Offline;Lifestyle;2.419.566,94;2.497.404,89;2.477.440,08;1652715,126
Maicao;3399031;278 Maicao - Claudio Vicuña 868, Quilpué;Offline;Lifestyle;2.111.337,81;2.400.427,92;1.916.735,06;2275299,219
Maicao;3399234;406 Maicao - Av. San Alberto Hurtado 60, Estación Central;Offline;Lifestyle;1.304.328,96;1.260.161,97;1.306.165,99;1446958,997
Maicao;3399247;236 Maicao - Av. José Pedro Alessandri 1166, Ñuñoa;Offline;Lifestyle;2.945.301,93;1.834.887,99;3.178.312,07;1822717,098
Maicao;3399231;434 Maicao - Carvajal 34, La Cisterna;Offline;Lifestyle;1.705.839,94;1.807.885,96;1.462.134,02;1606453,162
Maicao;3399023;020 Maicao - Arturo Prat 172, Quillota;Offline;Lifestyle;3.157.096,92;3.387.267,93;3.334.966,04;2343107,132
Maicao;3410742;463 Maicao - Caupolicán # 201;Offline;Lifestyle;3.194.554,68;2.838.107,96;2.403.548,92;2099313,141
